Name	PopSize	CodonSites	ART_Profile	Seed	SelectionRate	FragLenStd	FragLenAve	Cover	NumBreakpoints	Generations	TreeLen	WindowSize	MinWinWidth	MinWinDepth	MinQual
Sim228948599	1000	300	../../../art_profiles/longshot_ART_profile.	228948599	0.01	100	135	5.8743606582085492	3	283	0.291364352966,1.0284369802,0.53047750757	150	0.7	10	15
Sim1662840165	1000	300	../../../art_profiles/longshot_ART_profile.	1662840165	0.01	100	250	0.90010730139894612	4	1230	7.71643356952,0.681618451383,1.77540235741	300	0.875	10	20
Sim1175528311	1000	300	../../../art_profiles/longshot_ART_profile.	1175528311	0.01	100	353	2.2608720855382058	2	307	1.41911854784,1.94321244767,1.96179860971	150	0.7	10	15
Sim1263210713	1000	300	../../../art_profiles/longshot_ART_profile.	1263210713	0.01	100	220	5.522842387342898	3	412	1.2116851543,2.21332983157,2.68947321355	300	0.875	10	20
Sim3685789069	1000	300	../../../art_profiles/longshot_ART_profile.	3685789069	0.01	100	277	0.8621655137491413	4	784	2.1418014992,3.34256786546,4.39716343775	150	0.7	10	15
Sim2324485897	1000	300	../../../art_profiles/longshot_ART_profile.	2324485897	0.01	100	120	1.4316261905735155	3	4491	25.495308314,1.41573573746,33.3772687167	150	0.7	10	15
Sim2054417814	1000	300	../../../art_profiles/longshot_ART_profile.	2054417814	0.01	100	425	2.1560014051514127	0	474	0.334136702527,1.44008917415,2.28314095231	300	0.875	10	20
Sim1328595355	1000	300	../../../art_profiles/longshot_ART_profile.	1328595355	0.01	100	115	2.9145320643714907	4	2343	11.5318088447,13.3181847713,3.06761897271	300	0.875	10	20
Sim2477575537	1000	300	../../../art_profiles/longshot_ART_profile.	2477575537	0.01	100	245	3.6623818734088607	3	3614	7.68289472869,5.13277349988,14.1228564987	300	0.875	10	20
Sim141921007	1000	300	../../../art_profiles/longshot_ART_profile.	141921007	0.01	100	487	2.372509984502218	2	675	2.24379564885,5.1061689762,5.516037489	150	0.7	10	15
Sim2126038535	1000	300	../../../art_profiles/longshot_ART_profile.	2126038535	0.01	100	192	6.2008914132207753	4	502	1.72077649776,0.837127300897,2.52572958097	300	0.875	10	20
Sim2903361638	1000	300	../../../art_profiles/longshot_ART_profile.	2903361638	0.01	100	170	0.50924735984087732	2	881	7.35092411684,2.14427276636,0.985905208633	300	0.875	10	20
Sim4211805487	1000	300	../../../art_profiles/longshot_ART_profile.	4211805487	0.01	100	403	0.70359117332109566	1	1060	5.67287383651,0.875743228853,0.77839123602	300	0.875	10	20
Sim302236526	1000	300	../../../art_profiles/longshot_ART_profile.	302236526	0.01	100	205	2.0642919858238518	4	1174	4.9357459423,6.04374441821,5.20553112848	150	0.7	10	15
